Billboard Number, Date, Song Title, Artist
2,31.05.2008,Nothing But The Best,Frank Sinatra
32,09.05.2015,Ultimate Sinatra,Frank Sinatra
1,23.07.1966,Strangers In Night,Frank Sinatra
5,26.02.1966,September Of My Year,Frank Sinatra
6,25.02.1967,That's Life,Frank Sinatra
9,15.10.1966,Sinatra At The Sands,Frank Sinatra With Count Basie And His Orchestra
9,11.09.1965,Sinatra '65,Frank Sinatra
8,30.11.1963,Sinatra's Sinatra,Frank Sinatra
71,24.12.2016,Christmas Songs By Sinatra,Frank Sinatra
2,20.11.1993,Duets,Frank Sinatra
